row_type,model,split,absolute_residual_mae,drre,defined_state_actions,stop_relative_pairs,defined_actions_by_action,defined_pairs_by_nonstop_action,mae_evaluable_states,drre_evaluable_states,mask_rule,lambda,evaluable_states,realized_gain,oracle_gain,oracle_gain_denominator,normalized_regret,gain_capture,selected_nonstop_states,predicted_non_STOP_count,defined_prediction_states,missing_prediction_states,predicted_non_STOP_fraction,false_stop_states,false_intervention_states,negative_intervention_states,false_stop_rate,false_intervention_rate,negative_intervention_rate,budget,budget_semantics,eligible_states,analysis_role,supplies_E4,supplies_E5_directly,cap,used,unused,selected_true_positive_states,selected_negative_states,selected_zero_gain_states,selection_sha256
sparse,RECT_P,COCO_EXTERNAL,,,,,,,,,,0.0,,-0.18734478675395655,11.084297709264035,11.084297709264035,,-0.016901818380191783,,,,,,,,,,,,0.01,FORCED_K,19996,PRIMARY,False,False,200,200,0,58,65,77,bb5b42ab84b69d1ee0b2d59cc2e480bb270ab5840c03837e8bbf6aa5727e0846
sparse,RECT_P,COCO_EXTERNAL,,,,,,,,,,0.0,,-0.18734478675395655,11.084297709264035,11.084297709264035,,-0.016901818380191783,,,,,,,,,,,,0.01,POSITIVE_GAIN_CAP,19996,SECONDARY_SENSITIVITY,False,False,200,200,0,58,65,77,bb5b42ab84b69d1ee0b2d59cc2e480bb270ab5840c03837e8bbf6aa5727e0846
sparse,RECT_P,COCO_EXTERNAL,,,,,,,,,,0.0,,-0.08448194890862887,11.647607416545636,11.647607416545636,,-0.007253159029778145,,,,,,,,,,,,0.02,FORCED_K,19996,PRIMARY,False,False,400,400,0,64,69,267,3ae344df88a80e8a440d0aced0e7cca781ac0596f7b42a4aed618ccdf8527c80
sparse,RECT_P,COCO_EXTERNAL,,,,,,,,,,0.0,,-0.17424055971463737,11.647607416545636,11.647607416545636,,-0.014959343449979737,,,,,,,,,,,,0.02,POSITIVE_GAIN_CAP,19996,SECONDARY_SENSITIVITY,False,False,400,224,176,61,66,97,b7160a02af6ae80ccd5eb871b6f461fd093a4391f6265773af6797685ce69b6d
sparse,RECT_P,COCO_EXTERNAL,,,,,,,,,,0.0,,-0.11893672457907313,11.884213250654975,11.884213250654975,,-0.010007959472834112,,,,,,,,,,,,0.05,FORCED_K,19996,PRIMARY,False,False,1000,1000,0,72,83,845,1028490d3771fb320fbf713dd5cdf120d609f1730591e33c09a450dafee510f3
sparse,RECT_P,COCO_EXTERNAL,,,,,,,,,,0.0,,-0.17424055971463737,11.884213250654975,11.884213250654975,,-0.014661514064049166,,,,,,,,,,,,0.05,POSITIVE_GAIN_CAP,19996,SECONDARY_SENSITIVITY,False,False,1000,224,776,61,66,97,b7160a02af6ae80ccd5eb871b6f461fd093a4391f6265773af6797685ce69b6d
prediction,UNION_P,COCO_EXTERNAL,0.013701132987611081,0.005832593972416831,44414,24415,"{""A3"":19999,""A4"":1470,""A5"":1473,""A6"":1473,""STOP"":19999}","{""A3"":19999,""A4"":1470,""A5"":1473,""A6"":1473}",19999,19999,DEFINED_ACTION_CELLS_AND_DEFINED_STOP_RELATIVE_PAIRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
intervention,UNION_P,COCO_EXTERNAL,,,,,,,,,,0.0,19996,-0.1807991733969208,11.886041072341227,11.886041072341227,1.0152110507019567,-0.015211050701956583,278,278,19999,1,0.013900695034751737,1032,212,57,0.051610322064412885,0.010602120424084817,0.20503597122302158,,,,,,,,,,,,,
sparse,UNION_P,COCO_EXTERNAL,,,,,,,,,,0.0,,-0.18079917339692084,11.084297709264035,11.084297709264035,,-0.016311288106761378,,,,,,,,,,,,0.01,FORCED_K,19996,PRIMARY,False,False,200,200,0,48,57,95,95e30b68e6e0c1e0fbfc57bb8800f8b5606fe73d181587620c1bb0104c55d67d
sparse,UNION_P,COCO_EXTERNAL,,,,,,,,,,0.0,,-0.18079917339692084,11.084297709264035,11.084297709264035,,-0.016311288106761378,,,,,,,,,,,,0.01,POSITIVE_GAIN_CAP,19996,SECONDARY_SENSITIVITY,False,False,200,200,0,48,57,95,95e30b68e6e0c1e0fbfc57bb8800f8b5606fe73d181587620c1bb0104c55d67d
sparse,UNION_P,COCO_EXTERNAL,,,,,,,,,,0.0,,-0.18079917339692084,11.647607416545636,11.647607416545636,,-0.01552243022374641,,,,,,,,,,,,0.02,FORCED_K,19996,PRIMARY,False,False,400,400,0,48,57,295,660f7ea8e5b4381edee1496aa0c0d86b010a87b58970036632476b90f6da146b
sparse,UNION_P,COCO_EXTERNAL,,,,,,,,,,0.0,,-0.18079917339692086,11.647607416545636,11.647607416545636,,-0.015522430223746414,,,,,,,,,,,,0.02,POSITIVE_GAIN_CAP,19996,SECONDARY_SENSITIVITY,False,False,400,278,122,48,57,173,ab69e7b6ba5b1cb580709b46c0a3c48e733ecaac55571297cdec110338355866
sparse,UNION_P,COCO_EXTERNAL,,,,,,,,,,0.0,,-0.21154769783989,11.884213250654975,11.884213250654975,,-0.017800732230064197,,,,,,,,,,,,0.05,FORCED_K,19996,PRIMARY,False,False,1000,1000,0,51,62,887,51a59ce07c93a32c2552e52887dd0afc183557d69e429799f08fa26c953cb049
sparse,UNION_P,COCO_EXTERNAL,,,,,,,,,,0.0,,-0.18079917339692086,11.884213250654975,11.884213250654975,,-0.015213390199553721,,,,,,,,,,,,0.05,POSITIVE_GAIN_CAP,19996,SECONDARY_SENSITIVITY,False,False,1000,278,722,48,57,173,ab69e7b6ba5b1cb580709b46c0a3c48e733ecaac55571297cdec110338355866
prediction,R3_P,COCO_EXTERNAL,0.015840235488627948,0.006546629050448785,44414,24415,"{""A3"":19999,""A4"":1470,""A5"":1473,""A6"":1473,""STOP"":19999}","{""A3"":19999,""A4"":1470,""A5"":1473,""A6"":1473}",19999,19999,DEFINED_ACTION_CELLS_AND_DEFINED_STOP_RELATIVE_PAIRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
intervention,R3_P,COCO_EXTERNAL,,,,,,,,,,0.0,19996,0.5984037975782188,11.886041072341227,11.886041072341227,0.9496549108373263,0.05034508916267354,988,988,19999,1,0.049402470123506174,406,296,484,0.020304060812162433,0.014802960592118424,0.4898785425101215,,,,,,,,,,,,,
sparse,R3_P,COCO_EXTERNAL,,,,,,,,,,0.0,,-0.11822401352583778,11.084297709264035,11.084297709264035,,-0.01066590023353744,,,,,,,,,,,,0.01,FORCED_K,19996,PRIMARY,True,False,200,200,0,91,109,0,f6c7fc9196b9ee122dc8df9fd69b416fe87adff6dbbce5931d1f62e7a1b21a32
sparse,R3_P,COCO_EXTERNAL,,,,,,,,,,0.0,,-0.11822401352583778,11.084297709264035,11.084297709264035,,-0.01066590023353744,,,,,,,,,,,,0.01,POSITIVE_GAIN_CAP,19996,SECONDARY_SENSITIVITY,False,False,200,200,0,91,109,0,f6c7fc9196b9ee122dc8df9fd69b416fe87adff6dbbce5931d1f62e7a1b21a32
sparse,R3_P,COCO_EXTERNAL,,,,,,,,,,0.0,,-0.12526079006122998,11.647607416545636,11.647607416545636,,-0.010754207759723664,,,,,,,,,,,,0.02,FORCED_K,19996,PRIMARY,True,False,400,400,0,190,208,2,eaa2b9422a08578123d1c6091ce12831d7ed19c55593725bb2dafd14f391746c
sparse,R3_P,COCO_EXTERNAL,,,,,,,,,,0.0,,-0.12526079006122998,11.647607416545636,11.647607416545636,,-0.010754207759723664,,,,,,,,,,,,0.02,POSITIVE_GAIN_CAP,19996,SECONDARY_SENSITIVITY,False,False,400,400,0,190,208,2,eaa2b9422a08578123d1c6091ce12831d7ed19c55593725bb2dafd14f391746c
sparse,R3_P,COCO_EXTERNAL,,,,,,,,,,0.0,,0.5985176876830631,11.884213250654975,11.884213250654975,,0.05036241567358925,,,,,,,,,,,,0.05,FORCED_K,19996,PRIMARY,True,False,1000,1000,0,500,491,9,3497bcf175c8e5b014368532fdd5e97435ec09afac61d84de287a3ff0d1d9a78
sparse,R3_P,COCO_EXTERNAL,,,,,,,,,,0.0,,0.5984037975782188,11.884213250654975,11.884213250654975,,0.0503528323631553,,,,,,,,,,,,0.05,POSITIVE_GAIN_CAP,19996,SECONDARY_SENSITIVITY,False,False,1000,988,12,495,484,9,3fd5e195354f00a915650894f52192aa6a328c9da2272d8887a732f387f16421
